tamanho;algoritmo;cores;qtd_primos;tempo;speedup;;;;
10000000;serial;1;664579;2,5140;1.00x;;;;
10000000;openMp;4;664579;1,2260;2.05x;;;;
10000000;serial;1;664579;2,1980;1.00x;;;;
10000000;openMp;4;664579;1,1380;1.93x;;;;
10000000;serial;1;664579;2,1220;1.00x;;;;
10000000;openMp;4;664579;1,0430;2.03x;;;;
10000000;serial;1;664579;2,0910;1.00x;;;;
10000000;openMp;4;664579;1,1160;1.87x;;;;
10000000;serial;1;664579;2,1950;1.00x;;;;
10000000;openMp;4;664579;1,3540;1.62x;;;;
10000000;serial;1;664579;2,1940;1.00x;;;;
10000000;openMp;4;664579;1,0960;2.00x;;;;
10000000;serial;1;664579;2,5270;1.00x;;;;
10000000;openMp;4;664579;1,2170;2.08x;;;;
10000000;serial;1;664579;2,4500;1.00x;;;;
10000000;openMp;4;664579;1,2080;2.03x;;;;
10000000;serial;1;664579;2,4660;1.00x;;;;
10000000;openMp;4;664579;1,0260;2.40x;;;;
10000000;serial;1;664579;1,7010;1.00x;;;;
10000000;openMp;4;664579;0,9260;1.84x;;;;
50000000;serial;1;3001134;17,3670;1.00x;;;;
50000000;openMp;4;3001134;7,5520;2.30x;;;;
50000000;serial;1;3001134;16,3100;1.00x;;;;
50000000;openMp;4;3001134;8,7630;1.86x;;;;
50000000;serial;1;3001134;17,0180;1.00x;;;;
50000000;openMp;4;3001134;8,7200;1.95x;;;;
50000000;serial;1;3001134;16,9310;1.00x;;;;
50000000;openMp;4;3001134;8,0780;2.10x;;;;
50000000;serial;1;3001134;16,6240;1.00x;;;;
50000000;openMp;4;3001134;6,9540;2.39x;;;;
50000000;serial;1;3001134;13,8200;1.00x;;;;
50000000;openMp;4;3001134;7,9870;1.73x;;;;
50000000;serial;1;3001134;16,6110;1.00x;;;;
50000000;openMp;4;3001134;7,7910;2.13x;;;;
50000000;serial;1;3001134;17,6010;1.00x;;;;
50000000;openMp;4;3001134;6,5230;2.70x;;;;
50000000;serial;1;3001134;15,4390;1.00x;;;;
50000000;openMp;4;3001134;6,7340;2.29x;;;;
50000000;serial;1;3001134;16,7640;1.00x;;;;
50000000;openMp;4;3001134;7,9170;2.12x;;;;
100000000;serial;1;5761455;38,5990;1.00x;;;;
100000000;openMp;4;5761455;17,2150;2.24x;;;;
100000000;serial;1;5761455;38,1600;1.00x;;;;
100000000;openMp;4;5761455;18,8950;2.02x;;;;
100000000;serial;1;5761455;35,7210;1.00x;;;;
100000000;openMp;4;5761455;21,5290;1.66x;;;;
100000000;serial;1;5761455;48,5680;1.00x;;;;
100000000;openMp;4;5761455;21,5900;2.25x;;;;
100000000;serial;1;5761455;44,8740;1.00x;;;;
100000000;openMp;4;5761455;17,4370;2.57x;;;;
100000000;serial;1;5761455;44,1240;1.00x;;;;
100000000;openMp;4;5761455;18,6020;2.37x;;;;
100000000;serial;1;5761455;38,2590;1.00x;;;;
100000000;openMp;4;5761455;21,6210;1.77x;;;;
100000000;serial;1;5761455;50,1870;1.00x;;;;
100000000;openMp;4;5761455;24,1050;2.08x;;;;
100000000;serial;1;5761455;48,7110;1.00x;;;;
100000000;openMp;4;5761455;31,1000;1.57x;;;;
100000000;serial;1;5761455;41,3990;1.00x;;;;
100000000;openMp;4;5761455;17,7270;2.34x;;;;
150000000;serial;1;8444396;68,9500;1.00x;;;;
150000000;openMp;4;8444396;30,4840;2.26x;;;;
150000000;serial;1;8444396;62,8570;1.00x;;;;
150000000;openMp;4;8444396;34,4850;1.82x;;;;
150000000;serial;1;8444396;61,8550;1.00x;;;;
150000000;openMp;4;8444396;32,0020;1.93x;;;;
150000000;serial;1;8444396;62,4530;1.00x;;;;
150000000;openMp;4;8444396;31,4120;1.99x;;;;
